Training,9.34E+017,MikeQuindazzi,"Most accepted #FinTech for #MobilePayments?
#Applepay
#Paypal
#Masterpass
#Androidpay
#VisaCheckout
#SamsungPay_ https://t.co/iCIojjj37t",Positive,,,,32
Training,9.33E+017,ChrisHolmesWIN,.@BRPConsulting says #Retail accept #ApplePay more than other mobile payment methods. https://t.co/kVpvgYaCnb,Positive,,,,0
Training,9.34E+017,kendraowenss,We get our fucking bill and this nigga and his friend trying to ApplePay and the cards kept declining so Iُm embarr_ https://t.co/HUXGkWCi0I,Negative,,,,50
Training,9.34E+017,lennythepen,@Uberfailjimmy @Apple @Apple and @ApplePay are remaining schtum about their involvement and knowledge of #UberHack._ https://t.co/466zibld4A,Negative,,,,9
Training,9.35E+017,CStoreNews_,#CyberMonday #ecommerce  CyberSecurity CyberMonday Future of #retail shopping experience is powered by artificial i_ https://t.co/yhn1xMLWSi,Neutral,,,,10
Training,9.34E+017,lennythepen,"What about #Uber hacked #iPhones with #ApplePay?

Hackers may have all the @Applepay details!
Frightening! https://t.co/cKF3a9OtIq",Negative,,,,7
Training,9.34E+017,rob2775,"Wednesday: Had a whinge about bank bizarre block on #ApplePay #Ecommerce #payments over Σ500.

Thursday: Product Di_ https://t.co/jRXMlpxCwu",Neutral,,,,27
Training,9.34E+017,lennythepen,"@Uberfailjimmy @Apple @ApplePay @tim_cook @FBI Tim previously warned Travis about unsecured data__

#Apple customers_ https://t.co/Z7UnNHefbg",Negative,,,,4
Training,9.33E+017,SavetheChildren,"This #Thanksgiving, give back by using #ApplePay to donate and help us reach the most vulnerable children in the U._ https://t.co/BuLy7Q7CPg",Positive,,,,34
Training,9.33E+017,reneritchie,"Used #ApplePay. Literally could not have been easier.

https://t.co/TnupK4KslA https://t.co/xoEsjQiqk9",Positive,,,,17
Training,9.33E+017,sffed,"In the world of #ApplePay, #Bitcoin &amp; #Square, are the days of #cash numbered? Our #SFFed blog post explores by loo_ https://t.co/LwNHskCd75",Neutral,,,,6
Training,9.33E+017,JGcauses,"BIG NEWS! Donate with #ApplePay is now available to 1,100 UK #charities on @JustGiving making it even easier for pe_ https://t.co/G74rT1Hgcc",Positive,,,,11
Training,9.34E+017,ABUDiapers,"Since I guess SOME of you are interested, I guess I will make sure ya'll know that Canada and the USA are able to a_ https://t.co/MGpSBwj6Ob",Neutral,,,,19
Training,9.34E+017,CombatStress,You can now use #ApplePay as a way of donating to us on our @justgiving page. We're excited! @Apple_ https://t.co/LId3Q9Tn0Z,Positive,,,,7
Training,9.34E+017,CStoreNews_,#CyberMondayEC  #ecommerce  #CyberSecurity #CyberMonday Future of #retail shopping experience is powered by artific_ https://t.co/3t4pTbxmwq,Positive,,,,2
Training,9.34E+017,DubaiPoliceHQ,"Payments at our service centers are much easier with #ApplePay.

#DubaiPolice #YourSecurityOurHappiness https://t.co/9r7yK3Vnfu",Positive,,,,6
Training,9.33E+017,jon_bedford,"This is something I am *very* excited about, as we're the *first* fundraising website to offer #ApplePay __ https://t.co/HEcU3ZWPbi",Positive,,,,8
Training,9.33E+017,technewsinc,"Apple Pay makes their first deal with major French Bank, Societe Generale 
#ApplePay https://t.co/rrjnWB36Dq",Neutral,,,,2
Training,9.32E+017,Vacatia,"Book your holiday #familytravel with
5 ways to pay! _____
_Credit Card
_@AmazonPay
_#ApplePay
_2 to 4 interest-free_ https://t.co/d8r4GiKM92",Positive,,,,1
